Timestamp;[PLC] MereniTeplot:$temp2_filtered$;[PLC] MereniTeplot:$temp3_filtered$;[PLC] MereniTeplot:$temp1_filtered$
00:56:44 02.01.2022;25.2646561;21.4688663;34.78429
01:00:00 02.01.2022;25.3729458;21.4585476;35.2347755
01:03:26 02.01.2022;25.4796467;21.4739132;35.5969353
01:03:30 02.01.2022;25.4374962;21.4400234;35.6734047
01:04:00 02.01.2022;25.5008926;21.4199162;35.69159
01:04:30 02.01.2022;25.5242271;21.4211769;35.74341
01:05:00 02.01.2022;25.5470829;21.4498;35.8138733
01:05:30 02.01.2022;25.55029;21.4287853;35.8672523
01:06:00 02.01.2022;25.55585;21.4418564;35.9232254
01:06:30 02.01.2022;25.5755463;21.42571;35.9721832
01:07:00 02.01.2022;25.5688686;21.4231949;36.0351
01:07:30 02.01.2022;25.60497;21.427948;36.0786667
01:07:58 02.01.2022;25.4796467;21.4739132;35.5969353
01:08:00 02.01.2022;25.5624981;21.4343987;36.1291466
01:08:30 02.01.2022;25.6291466;21.4251785;36.1809731
01:09:00 02.01.2022;25.6738834;21.4156685;36.21743
01:09:30 02.01.2022;25.6853123;21.4090424;36.2576561
01:10:00 02.01.2022;25.6821136;21.4133453;36.31161
01:10:30 02.01.2022;25.7022667;21.4220314;36.3858376
01:11:00 02.01.2022;25.7259159;21.4014511;36.4154358
01:11:30 02.01.2022;25.716629;21.4055443;36.45351
01:12:00 02.01.2022;25.7088127;21.3948269;36.51023
01:12:30 02.01.2022;25.726059;21.3842316;36.574543
01:13:00 02.01.2022;25.7374172;21.3837929;36.61233
01:13:30 02.01.2022;25.7500648;21.3872414;36.65825
01:14:00 02.01.2022;25.7607632;21.3815975;36.7098274
01:14:30 02.01.2022;25.7813778;21.3892879;36.76713
01:15:00 02.01.2022;25.7914181;21.3732471;36.81776
01:15:30 02.01.2022;25.8057861;21.36567;36.8682556
01:16:00 02.01.2022;25.8079567;21.3578415;36.90971
01:16:30 02.01.2022;25.80174;21.3681545;36.96614
01:17:00 02.01.2022;25.8218613;21.37049;36.98556
01:17:30 02.01.2022;25.82635;21.3602734;37.019558
01:18:00 02.01.2022;25.8456078;21.3565865;37.0738754
01:18:30 02.01.2022;25.8602924;21.3630276;37.11171
01:19:00 02.01.2022;25.8597431;21.3603954;37.12341
01:19:30 02.01.2022;25.8787918;21.357399;37.1708755
01:20:00 02.01.2022;25.9142323;21.3536682;37.20374
01:20:30 02.01.2022;25.9069786;21.3421154;37.254837
01:21:00 02.01.2022;25.9316311;21.3474274;37.2580338
